주문일자,종목명,매수가격,매수시간,매도시간,수익률,종목코드,뉴스기사,최대거래대금 시간,최대거래대금,매수등락률,단기과열
2022-03-29,고려시멘트,5230,09:09:07,09:21:27,2.87,198440,1,09:06:00,113,16.22,True
2022-03-29,고려시멘트,5410,09:28:09,09:32:19,1.85,198440,1,09:06:00,113,20.22,True
2022-03-29,고려시멘트,5440,10:38:18,10:51:17,0.15,198440,1,09:06:00,113,20.89,True
2022-03-29,영진약품,5490,09:51:11,09:55:24,0.66,003520,1,09:50:00,62,6.6,False
2022-03-29,버킷스튜디오,5060,09:58:16,09:59:56,-0.59,066410,1,09:22:00,72,11.58,False
2022-03-29,버킷스튜디오,5150,10:08:51,10:22:59,2.14,066410,1,09:22:00,72,13.56,False
2022-03-29,버킷스튜디오,5260,10:31:49,10:32:35,-1.33,066410,1,10:10:00,87,15.99,False
2022-03-29,우리바이오,4390,10:00:40,10:00:50,-0.57,082850,1,10:00:00,44,10.86,True
2022-03-29,우리바이오,4435,10:01:03,10:07:10,-1.01,082850,1,10:00:00,44,11.99,True
2022-03-29,우리바이오,4565,10:29:39,10:31:11,0.11,082850,1,10:00:00,44,15.28,True
2022-03-29,우리바이오,4600,10:32:57,10:33:11,-1.19,082850,1,10:00:00,44,16.16,True
2022-03-29,우리바이오,4670,10:52:48,10:56:07,4.18,082850,1,10:00:00,44,17.93,True
2022-03-29,우리바이오,5000,14:53:28,14:53:58,0.4,082850,1,10:00:00,44,26.26,True
2022-03-31,우리바이오,5310,09:34:20,09:42:37,-2.26,082850,0,09:27:00,63,7.49,True
2022-03-29,파루,1320,10:51:59,10:52:38,-1.14,043200,0,10:36:00,9,27.54,False
2022-03-29,룽투코리아,6580,13:58:41,09:05:58,17.02,060240,1,13:27:00,42,27.52,False
2022-03-30,룽투코리아,7540,09:12:07,09:13:09,2.39,060240,1,09:00:00,67,12.54,False
2022-03-30,룽투코리아,8000,09:25:45,09:25:56,0.0,060240,1,09:00:00,67,19.4,False
2022-03-31,룽투코리아,8040,09:07:18,09:09:31,-4.23,060240,1,09:07:00,35,5.37,False
2022-03-30,오리콤,9290,09:11:01,09:11:18,-0.75,010470,1,09:00:00,55,18.8,True
2022-03-30,티비씨,1695,09:45:26,09:50:14,-3.54,033830,0,09:07:00,32,15.31,False
2022-03-30,제주반도체,6360,09:50:49,09:59:49,0.16,080220,1,09:00:00,134,13.37,False
2022-03-30,와토스코리아,9880,10:01:12,10:01:16,1.07,079000,0,10:01:00,46,27.81,True
2022-03-30,일동제약,67200,10:05:41,10:06:21,0.0,249420,0,10:00:00,143,8.91,False
2022-04-04,일동제약,76400,14:06:17,14:11:02,-1.7,249420,1,11:27:00,153,16.64,False
2022-03-30,시공테크,9950,12:05:02,12:08:57,-0.3,020710,0,11:46:00,56,26.43,True
2022-03-30,자연과환경,2295,12:11:34,12:16:21,0.22,043910,0,12:06:00,47,4.56,False
2022-03-30,아이스크림에듀,8830,12:16:56,12:17:46,0.23,289010,0,12:16:00,62,22.98,False
2022-03-30,바이오에프디엔씨,22150,12:18:29,12:19:34,0.9,251120,0,12:18:00,9,15.36,False
2022-03-30,남선알미늄,4355,14:40:36,14:46:57,-0.8,008350,0,09:00:00,193,21.99,True
2022-03-30,유니크,6940,15:17:09,15:17:19,3.6,011320,1,15:15:00,20,20.91,True
2022-03-31,효성오앤비,14450,09:10:38,09:34:09,0.0,097870,0,09:00:00,22,9.47,False
2022-03-31,큐캐피탈,847,09:44:12,09:51:17,-1.77,016600,0,09:44:00,52,7.22,True
2022-03-31,TJ미디어,8330,09:51:36,10:28:04,1.47,032540,1,09:51:00,76,16.67,True
2022-03-31,TJ미디어,8540,14:09:05,14:11:15,3.51,032540,1,09:52:00,78,19.61,True
2022-03-31,TJ미디어,8810,14:16:33,14:17:33,0.0,032540,1,09:52:00,78,23.39,True
2022-04-01,TJ미디어,9330,09:23:36,09:24:17,-0.21,032540,1,09:22:00,103,5.42,True
2022-04-01,TJ미디어,9900,09:46:42,09:47:49,-0.4,032540,1,09:22:00,103,11.86,True
2022-04-01,TJ미디어,10000,09:48:38,09:50:59,2.5,032540,1,09:22:00,103,12.99,True
2022-04-01,TJ미디어,10000,10:01:43,10:34:02,-1.2,032540,1,09:22:00,103,12.99,True
2022-03-31,대한전선,1645,10:31:38,11:46:54,4.86,001440,1,10:14:00,64,15.44,False
2022-03-31,대한전선,1795,13:31:27,14:09:01,-0.84,001440,1,12:22:00,85,25.96,False
2022-03-31,대한전선,1810,14:19:59,09:00:07,7.73,001440,1,12:22:00,85,27.02,False
2022-04-01,대한전선,2060,09:11:41,09:23:06,-1.72,001440,1,09:00:00,280,11.35,False
2022-03-31,대신정보통신,2300,13:13:20,13:13:58,-0.22,020180,1,12:49:00,41,15.29,True
2022-03-31,코리아에프티,3555,13:15:51,13:18:30,1.55,123410,0,13:15:00,22,10.06,False
2022-04-01,IHQ,1440,09:06:45,09:07:35,-2.43,003560,1,09:06:00,31,11.63,False
2022-04-01,KH 필룩스,2730,09:28:04,09:28:45,0.0,033180,1,09:16:00,27,28.17,False
2022-04-06,KH 필룩스,3055,09:31:50,09:35:16,-1.96,033180,1,09:31:00,69,16.16,True
2022-04-01,하림,3545,09:30:13,09:37:13,2.4,136480,1,09:20:00,38,9.58,False
2022-04-01,에스엠,89600,10:36:17,10:46:55,-0.78,041510,1,09:56:00,64,9.8,False
2022-04-01,미래산업,18250,10:52:40,10:59:17,1.92,025560,1,09:02:00,24,26.3,True
2022-04-01,금강철강,8850,10:59:57,11:00:48,0.0,053260,0,10:56:00,60,15.23,True
2022-04-01,아이오케이,1570,13:05:00,13:31:14,1.91,078860,1,09:02:00,50,27.13,True
2022-04-01,이수앱지스,8550,14:35:08,14:35:47,-0.12,086890,1,14:01:00,32,26.67,False
2022-04-01,이수앱지스,8530,14:38:58,14:42:15,0.0,086890,1,14:01:00,32,26.37,False
2022-04-01,네오셈,3975,14:37:13,14:38:07,-4.53,253590,0,14:35:00,24,7.43,False
2022-04-01,잇츠한불,25050,14:47:04,14:49:26,4.99,226320,1,11:45:00,41,21.31,True
2022-04-01,잇츠한불,25750,15:04:41,15:11:27,-1.17,226320,1,14:48:00,47,24.7,True
2022-04-01,지에스이,5970,15:11:53,15:13:24,-5.03,053050,0,15:07:00,77,13.07,False
2022-04-04,SG세계물산,794,09:18:52,09:19:08,-1.01,004060,1,09:18:00,13,6.15,False
2022-04-04,KEC,3450,09:21:02,09:25:11,-0.24,092220,1,09:20:00,102,14.24,False
2022-04-04,KEC,3460,09:27:24,09:28:20,2.31,092220,1,09:20:00,102,14.57,False
2022-04-04,KEC,3580,09:54:31,09:56:12,-1.96,092220,1,09:20:00,102,18.54,False
2022-04-04,KEC,3520,09:59:08,10:21:28,0.0,092220,1,09:20:00,102,16.56,False
2022-04-04,미래아이앤지,574,10:25:37,10:25:50,1.92,007120,1,10:24:00,29,27.56,True
2022-04-04,한신기계,9500,10:30:48,10:33:47,1.89,011700,0,10:30:00,86,12.16,False
2022-04-04,한신기계,10250,13:19:24,13:30:24,-3.61,011700,0,10:32:00,107,21.02,False
2022-04-04,한신기계,10150,14:39:06,15:06:43,-1.67,011700,0,10:32:00,107,19.83,False
2022-04-06,한신기계,10600,09:20:23,09:21:42,0.0,011700,1,09:08:00,152,10.42,False
2022-04-21,한신기계,12000,09:22:17,09:23:48,2.5,011700,1,09:00:00,211,19.4,False
2022-04-04,동양철관,1440,13:32:18,13:45:47,-0.35,008970,1,13:11:00,52,19.5,False
2022-04-04,정산애강,2445,13:46:32,13:51:56,2.15,022220,1,13:46:00,45,16.43,False
2022-04-04,정산애강,2415,13:58:24,13:59:27,-2.07,022220,1,13:46:00,45,15.0,False
2022-04-04,정산애강,2375,14:20:00,14:28:33,-3.58,022220,1,13:46:00,45,13.1,False
2022-04-04,정산애강,2335,14:33:08,14:38:52,-1.28,022220,1,13:46:00,45,11.19,False
2022-04-04,한국종합기술,8260,13:57:15,13:57:57,-1.56,023350,0,13:54:00,19,15.04,False
2022-04-04,화성밸브,7170,14:03:36,14:06:06,-0.7,039610,0,13:29:00,25,21.53,False
2022-04-04,화성밸브,7290,14:11:21,14:19:56,-0.82,039610,0,13:29:00,25,23.56,False
2022-04-04,패션플랫폼,2530,14:29:19,14:30:16,-0.99,225590,0,09:16:00,30,18.5,True
2022-04-04,현대바이오,31050,15:06:45,15:08:14,-1.93,048410,1,15:00:00,53,7.81,False
2022-04-04,데이타솔루션,8990,15:09:02,15:12:59,-0.78,263800,1,14:53:00,42,11.68,False
2022-04-04,신영스팩5호,3050,15:13:21,15:32:41,-2.46,323280,0,15:09:00,9,22.98,False
2022-04-05,누보,3910,09:06:11,09:10:44,-0.51,332290,1,09:03:00,43,18.31,False
2022-04-06,누보,4100,09:38:02,09:45:09,0.37,332290,1,09:25:00,66,14.85,False
2022-04-05,아모그린텍,13050,09:11:25,09:12:40,2.3,125210,0,09:02:00,63,17.04,False
2022-04-05,NPC,9780,09:16:19,09:17:03,-2.86,004250,1,09:16:00,78,10.76,False
2022-04-05,무림SP,3790,09:17:44,09:18:44,0.92,001810,1,09:17:00,17,14.67,False
2022-04-05,무림페이퍼,3040,09:20:01,09:23:33,4.46,009200,1,09:20:00,18,10.55,False
2022-04-06,에이티세미콘,2155,09:48:59,09:56:13,2.32,089530,1,09:09:00,20,21.75,False
2022-04-06,에이티세미콘,2255,10:45:12,17:50:05,2.0,089530,1,09:49:00,25,27.4,False
2022-04-07,KG ETS,18200,09:30:20,09:41:32,4.95,151860,1,09:02:00,372,15.19,True
2022-04-08,대동기어,9690,09:22:35,09:23:41,-1.65,008830,1,09:05:00,29,21.89,False
2022-04-08,액션스퀘어,5170,09:24:09,09:25:54,0.0,205500,0,09:15:00,9,14.63,False
2022-04-08,NHN벅스,17350,09:30:13,09:42:50,-0.58,104200,1,09:29:00,40,14.9,False
2022-04-08,NHN벅스,17450,09:56:31,11:18:21,-1.72,104200,1,09:39:00,49,15.56,False
2022-04-08,코스모화학,16250,09:47:28,09:49:16,-1.85,005420,1,09:47:00,52,11.68,False
2022-04-08,베셀,5590,09:50:19,09:53:01,-2.33,177350,1,09:36:00,37,23.67,False
2022-04-08,디스플레이텍,8510,11:22:02,11:25:30,0.12,066670,1,11:00:00,65,13.16,False
2022-04-08,린드먼아시아,7000,11:47:32,11:48:08,0.0,277070,0,10:00:00,17,26.35,False
2022-04-08,KCTC,7020,13:51:07,13:51:40,-1.71,009070,1,13:47:00,52,13.23,False
2022-04-08,엠아이텍,10750,13:54:03,14:42:04,2.33,179290,1,13:17:00,155,26.77,True
2022-04-08,시너지이노베이션,4530,14:50:09,14:51:09,-0.11,048870,1,12:50:00,51,22.43,False
2022-04-08,시너지이노베이션,4375,15:00:57,15:05:01,-2.83,048870,1,12:50:00,51,18.24,False
2022-04-08,시너지이노베이션,4315,15:05:32,15:13:37,-1.39,048870,1,12:50:00,51,16.62,False
2022-04-08,하인크코리아,3720,15:15:02,09:02:32,10.31,373200,0,15:10:00,43,29.62,True
2022-04-12,티사이언티픽,4505,09:45:27,09:49:54,-2.11,057680,1,09:02:00,92,20.78,False
2022-04-12,GS글로벌,4050,09:55:29,09:58:43,2.84,001250,1,09:00:00,182,13.92,True
2022-04-13,LG헬로비전,6160,10:01:02,10:04:40,1.95,037560,1,09:22:00,73,19.15,False
2022-04-15,쇼박스,6430,09:54:51,09:57:19,0.93,086980,1,09:18:00,81,12.81,False
2022-04-15,쇼박스,6630,10:01:11,10:02:56,1.36,086980,1,09:18:00,81,16.32,False
2022-04-15,쇼박스,6510,13:41:29,13:43:57,0.46,086980,1,09:18:00,81,14.21,False
2022-04-19,쌍방울,941,09:56:00,09:56:42,-2.13,102280,1,09:22:00,91,25.97,False
2022-04-19,쌍방울,926,09:57:26,10:01:21,-4.1,102280,1,09:22:00,91,23.96,False
2022-04-19,쌍방울,887,10:05:48,10:50:28,1.58,102280,1,09:22:00,91,18.74,False
2022-04-19,쌍방울,890,11:39:46,13:02:06,3.6,102280,1,09:22:00,91,19.14,False
2022-04-19,쌍방울,924,13:56:51,14:05:34,2.71,102280,1,09:22:00,91,23.69,False
2022-04-19,에코바이오,8810,10:01:31,10:02:52,1.4,038870,0,10:01:00,24,25.14,False
2022-04-19,KG스틸,19400,10:03:41,10:05:39,-0.26,016380,1,09:24:00,100,10.54,False
2022-04-19,SCI평가정보,4105,10:53:25,10:53:32,-0.37,036120,1,09:53:00,50,29.91,False
2022-04-19,STX엔진,16000,11:05:07,11:06:03,0.31,077970,0,11:05:00,41,11.89,False
2022-04-19,일동홀딩스,43950,11:24:25,11:27:57,0.46,000230,0,09:01:00,88,12.84,True
2022-04-19,일승,4235,11:30:53,11:34:31,0.0,333430,1,09:35:00,47,22.05,True
2022-04-19,팜스토리,3280,13:49:10,13:50:27,2.44,027710,1,09:14:00,105,8.97,False
2022-04-19,광림,2855,14:11:10,14:11:54,1.05,014200,1,14:11:00,66,26.33,False
2022-04-20,대주산업,3930,09:36:38,09:44:21,-0.38,003310,1,09:01:00,86,19.09,True
2022-04-20,한국맥널티,10300,09:47:24,09:48:26,1.4,222980,1,09:47:00,98,26.38,True
2022-04-20,하이스틸,7380,14:07:57,14:09:32,0.41,071090,1,13:19:00,84,24.45,False
2022-04-22,사조동아원,2060,9:43:16,9:46:09,1.46,008040,1,09:19:00,81,14.13,True
