주문일자,종목명,매수가격,매수시간,매도시간,수익률,매매횟수,종목코드,뉴스기사,최대거래대금 시간,최대거래대금,매수등락률,시가등락률,양봉개수,직전 거래대금
2022-03-29,고려시멘트,5230,2022-04-26 09:09:07,09:21:27,2.5700000000000003,1,198440.0,1,09:06:00,113,16.22,6.22,1,63
2022-03-29,고려시멘트,5410,2022-04-26 09:28:09,09:32:19,1.55,2,198440.0,1,09:06:00,113,20.22,6.22,2,16
2022-03-29,영진약품,5490,2022-04-26 09:51:11,09:55:24,0.36000000000000004,3,3520.0,1,09:50:00,62,6.6,0.19,1,62
2022-03-29,버킷스튜디오,5060,2022-04-26 09:58:16,09:59:56,-0.8899999999999999,4,66410.0,1,09:22:00,72,11.58,3.09,0,26
2022-03-29,우리바이오,4390,2022-04-26 10:00:40,10:00:50,-0.8699999999999999,5,82850.0,1,10:00:00,44,10.86,4.17,3,43
2022-03-29,우리바이오,4435,2022-04-26 10:01:03,10:07:10,-1.31,6,82850.0,1,10:00:00,44,11.99,4.17,4,44
2022-03-29,버킷스튜디오,5150,2022-04-26 10:08:51,10:22:59,1.84,7,66410.0,1,09:22:00,72,13.56,3.09,0,65
2022-03-29,우리바이오,4565,2022-04-26 10:29:39,10:31:11,-0.19,8,82850.0,1,10:00:00,44,15.28,4.17,2,31
2022-03-29,버킷스튜디오,5260,2022-04-26 10:31:49,10:32:35,-1.6300000000000001,9,66410.0,1,10:10:00,87,15.99,3.09,1,22
2022-03-29,우리바이오,4600,2022-04-26 10:32:57,10:33:11,-1.49,10,82850.0,1,10:00:00,44,16.16,4.17,0,23
2022-03-29,고려시멘트,5440,2022-04-26 10:38:18,10:51:17,-0.15,11,198440.0,1,09:06:00,113,20.89,6.22,1,4
2022-03-29,파루,1320,2022-04-26 10:51:59,10:52:38,-1.44,12,43200.0,0,10:36:00,9,27.54,0.0,2,3
2022-03-29,우리바이오,4670,2022-04-26 10:52:48,10:56:07,3.88,13,82850.0,1,10:00:00,44,17.93,4.17,0,7
2022-03-29,룽투코리아,6580,2022-04-26 13:58:41,09:05:58,16.72,14,60240.0,1,13:27:00,42,27.52,0.19,3,18
2022-03-29,우리바이오,5000,2022-04-26 14:53:28,14:53:58,0.10000000000000003,15,82850.0,1,10:00:00,44,26.26,4.17,2,12
2022-03-30,오리콤,9290,2022-04-26 09:11:01,09:11:18,-1.05,1,10470.0,1,09:00:00,55,18.8,9.97,5,32
2022-03-30,룽투코리아,7540,2022-04-26 09:12:07,09:13:09,2.0900000000000003,2,60240.0,1,09:00:00,67,12.54,-0.45,0,19
2022-03-30,룽투코리아,8000,2022-04-26 09:25:45,09:25:56,-0.3,3,60240.0,1,09:00:00,67,19.4,-0.45,1,22
2022-03-30,티비씨,1695,2022-04-26 09:45:26,09:50:14,-3.84,4,33830.0,0,09:07:00,32,15.31,2.72,0,2
2022-03-30,제주반도체,6360,2022-04-26 09:50:49,09:59:49,-0.13999999999999999,5,80220.0,1,09:00:00,134,13.37,8.73,0,5
2022-03-30,와토스코리아,9880,2022-04-26 10:01:12,10:01:16,0.77,6,79000.0,0,10:01:00,46,27.81,1.29,2,2
2022-03-30,일동제약,67200,2022-04-26 10:05:41,10:06:21,-0.3,7,249420.0,0,10:00:00,143,8.91,2.43,1,52
2022-03-30,시공테크,9950,2022-04-26 12:05:02,12:08:57,-0.6,8,20710.0,0,11:46:00,56,26.43,6.1,0,15
2022-03-30,자연과환경,2295,2022-04-26 12:11:34,12:16:21,-0.07999999999999999,9,43910.0,0,12:06:00,47,4.56,-5.47,1,30
2022-03-30,아이스크림에듀,8830,2022-04-26 12:16:56,12:17:46,-0.06999999999999998,10,289010.0,0,12:16:00,62,22.98,10.03,2,22
2022-03-30,바이오에프디엔씨,22150,2022-04-26 12:18:29,12:19:34,0.6000000000000001,11,251120.0,0,12:18:00,9,15.36,-0.26,3,0
2022-03-30,남선알미늄,4355,2022-04-26 14:40:36,14:46:57,-1.1,12,8350.0,0,09:00:00,193,21.99,6.86,2,91
2022-03-30,유니크,6940,2022-04-26 15:17:09,15:17:19,3.3000000000000003,13,11320.0,1,15:15:00,20,20.91,0.87,9,6
2022-03-31,룽투코리아,8040,2022-04-26 09:07:18,09:09:31,-4.53,1,60240.0,1,09:07:00,35,5.37,2.23,2,12
2022-03-31,효성오앤비,14450,2022-04-26 09:10:38,09:34:09,-0.3,2,97870.0,0,09:00:00,22,9.47,6.44,2,10
2022-03-31,우리바이오,5310,2022-04-26 09:34:20,09:42:37,-2.5599999999999996,3,82850.0,0,09:27:00,63,7.49,-0.91,1,49
2022-03-31,큐캐피탈,847,2022-04-26 09:44:12,09:51:17,-2.07,4,16600.0,0,09:44:00,52,7.22,0.89,2,20
2022-03-31,TJ미디어,8330,2022-04-26 09:51:36,10:28:04,1.17,5,32540.0,1,09:51:00,76,16.67,2.66,4,17
2022-03-31,대한전선,1645,2022-04-26 10:31:38,11:46:54,4.5600000000000005,6,1440.0,1,10:14:00,64,15.44,1.05,0,20
2022-03-31,대신정보통신,2300,2022-04-26 13:13:20,13:13:58,-0.52,7,20180.0,1,12:49:00,41,15.29,-4.01,0,29
2022-03-31,코리아에프티,3555,2022-04-26 13:15:51,13:18:30,1.25,8,123410.0,0,13:15:00,22,10.06,0.77,0,0
2022-03-31,대한전선,1795,2022-04-26 13:31:27,14:09:01,-1.14,9,1440.0,1,12:22:00,85,25.96,1.05,0,7
2022-03-31,TJ미디어,8540,2022-04-26 14:09:05,14:11:15,3.21,10,32540.0,1,09:52:00,78,19.61,2.66,0,14
2022-03-31,TJ미디어,8810,2022-04-26 14:16:33,14:17:33,-0.3,11,32540.0,1,09:52:00,78,23.39,2.66,0,7
2022-03-31,대한전선,1810,2022-04-26 14:19:59,09:00:07,7.430000000000001,12,1440.0,1,12:22:00,85,27.02,1.05,2,14
2022-04-01,IHQ,1440,2022-04-26 09:06:45,09:07:35,-2.73,1,3560.0,1,09:06:00,31,11.63,3.88,3,5
2022-04-01,대한전선,2060,2022-04-26 09:11:41,09:23:06,-2.02,2,1440.0,1,09:00:00,280,11.35,5.68,9,153
2022-04-01,TJ미디어,9330,2022-04-26 09:23:36,09:24:17,-0.51,3,32540.0,1,09:22:00,103,5.42,-1.69,2,103
2022-04-01,KH 필룩스,2730,2022-04-26 09:28:04,09:28:45,-0.3,4,33180.0,1,09:16:00,27,28.17,16.9,1,8
2022-04-01,하림,3545,2022-04-26 09:30:13,09:37:13,2.1,5,136480.0,1,09:20:00,38,9.58,0.0,3,15
2022-04-01,TJ미디어,9900,2022-04-26 09:46:42,09:47:49,-0.7,6,32540.0,1,09:22:00,103,11.86,-1.69,1,23
2022-04-01,TJ미디어,10000,2022-04-26 09:48:38,09:50:59,2.2,7,32540.0,1,09:22:00,103,12.99,-1.69,1,17
2022-04-01,TJ미디어,10000,2022-04-26 10:01:43,10:34:02,-1.5,8,32540.0,1,09:22:00,103,12.99,-1.69,0,17
2022-04-01,에스엠,89600,2022-04-26 10:36:17,10:46:55,-1.08,9,41510.0,1,09:56:00,64,9.8,-0.61,2,47
2022-04-01,미래산업,18250,2022-04-26 10:52:40,10:59:17,1.6199999999999999,10,25560.0,1,09:02:00,24,26.3,23.88,6,12
2022-04-01,금강철강,8850,2022-04-26 10:59:57,11:00:48,-0.3,11,53260.0,0,10:56:00,60,15.23,1.17,10,24
2022-04-01,아이오케이,1570,2022-04-26 13:05:00,13:31:14,1.6099999999999999,12,78860.0,1,09:02:00,50,27.13,25.91,0,1
2022-04-01,이수앱지스,8550,2022-04-26 14:35:08,14:35:47,-0.42,13,86890.0,1,14:01:00,32,26.67,0.0,0,14
2022-04-01,네오셈,3975,2022-04-26 14:37:13,14:38:07,-4.83,14,253590.0,0,14:35:00,24,7.43,-2.03,0,15
2022-04-01,이수앱지스,8530,2022-04-26 14:38:58,14:42:15,-0.3,15,86890.0,1,14:01:00,32,26.37,0.0,0,8
2022-04-01,잇츠한불,25050,2022-04-26 14:47:04,14:49:26,4.69,16,226320.0,1,11:45:00,41,21.31,-0.48,3,10
2022-04-01,잇츠한불,25750,2022-04-26 15:04:41,15:11:27,-1.47,17,226320.0,1,14:48:00,47,24.7,-0.48,1,11
2022-04-01,지에스이,5970,2022-04-26 15:11:53,15:13:24,-5.33,18,53050.0,0,15:07:00,77,13.07,6.06,0,18
2022-04-04,SG세계물산,794,2022-04-26 09:18:52,09:19:08,-1.31,1,4060.0,1,09:18:00,13,6.15,3.88,3,3
2022-04-04,KEC,3450,2022-04-26 09:21:02,09:25:11,-0.54,2,92220.0,1,09:20:00,102,14.24,2.32,1,102
2022-04-04,KEC,3460,2022-04-26 09:27:24,09:28:20,2.0100000000000002,3,92220.0,1,09:20:00,102,14.57,2.32,0,19
2022-04-04,KEC,3580,2022-04-26 09:54:31,09:56:12,-2.26,4,92220.0,1,09:20:00,102,18.54,2.32,1,11
2022-04-04,KEC,3520,2022-04-26 09:59:08,10:21:28,-0.3,5,92220.0,1,09:20:00,102,16.56,2.32,0,7
2022-04-04,미래아이앤지,574,2022-04-26 10:25:37,10:25:50,1.6199999999999999,6,7120.0,1,10:24:00,29,27.56,1.33,3,29
2022-04-04,한신기계,9500,2022-04-26 10:30:48,10:33:47,1.5899999999999999,7,11700.0,0,10:30:00,86,12.16,0.94,2,29
2022-04-04,한신기계,10250,2022-04-26 13:19:24,13:30:24,-3.9099999999999997,8,11700.0,0,10:32:00,107,21.02,0.94,1,17
2022-04-04,동양철관,1440,2022-04-26 13:32:18,13:45:47,-0.6499999999999999,9,8970.0,1,13:11:00,52,19.5,0.41,1,3
2022-04-04,정산애강,2445,2022-04-26 13:46:32,13:51:56,1.8499999999999999,10,,0,13:46:00,45,19274.01,-0.16,1,21
2022-04-04,한국종합기술,8260,2022-04-26 13:57:15,13:57:57,-1.86,11,23350.0,0,13:54:00,19,15.04,-0.14,0,7
2022-04-04,정산애강,2415,2022-04-26 13:58:24,13:59:27,-2.3699999999999997,12,,0,13:46:00,45,19036.29,-0.16,0,12
2022-04-04,화성밸브,7170,2022-04-26 14:03:36,14:06:06,-1.0,13,39610.0,0,13:29:00,25,21.53,0.85,3,1
2022-04-04,일동제약,76400,2022-04-26 14:06:17,14:11:02,-2.0,14,249420.0,1,11:27:00,153,16.64,0.0,3,27
2022-04-04,화성밸브,7290,2022-04-26 14:11:21,14:19:56,-1.1199999999999999,15,39610.0,0,13:29:00,25,23.56,0.85,2,5
2022-04-04,정산애강,2375,2022-04-26 14:20:00,14:28:33,-3.88,16,,0,13:46:00,45,18719.33,-0.16,0,2
2022-04-04,패션플랫폼,2530,2022-04-26 14:29:19,14:30:16,-1.29,17,225590.0,0,09:16:00,30,18.5,0.94,1,5
2022-04-04,정산애강,2335,2022-04-26 14:33:08,14:38:52,-1.58,18,,0,13:46:00,45,18402.38,-0.16,2,3
2022-04-04,한신기계,10150,2022-04-26 14:39:06,15:06:43,-1.97,19,11700.0,0,10:32:00,107,19.83,0.94,1,37
2022-04-04,현대바이오,31050,2022-04-26 15:06:45,15:08:14,-2.23,20,48410.0,1,15:00:00,53,7.81,0.0,0,14
2022-04-04,데이타솔루션,8990,2022-04-26 15:09:02,15:12:59,-1.08,21,263800.0,1,14:53:00,42,11.68,1.74,3,28
2022-04-04,신영스팩5호,3050,2022-04-26 15:13:21,15:32:41,-2.76,22,323280.0,0,15:09:00,9,22.98,0.4,1,8
2022-04-05,누보,3910,2022-04-26 09:06:11,09:10:44,-0.81,1,332290.0,1,09:03:00,43,18.31,13.62,0,24
2022-04-05,아모그린텍,13050,2022-04-26 09:11:25,09:12:40,1.9999999999999998,2,125210.0,0,09:02:00,63,17.04,11.66,0,12
2022-04-05,NPC,9780,2022-04-26 09:16:19,09:17:03,-3.1599999999999997,3,4250.0,1,09:16:00,78,10.76,4.98,1,16
2022-04-05,무림SP,3790,2022-04-26 09:17:44,09:18:44,0.6200000000000001,4,1810.0,1,09:17:00,17,14.67,0.91,1,2
2022-04-05,무림페이퍼,3040,2022-04-26 09:20:01,09:23:33,4.16,5,9200.0,1,09:20:00,18,10.55,3.64,4,17
2022-04-06,한신기계,10600,2022-04-26 09:20:23,09:21:42,-0.3,1,11700.0,1,09:08:00,152,10.42,0.52,2,63
2022-04-06,KH 필룩스,3055,2022-04-26 09:31:50,09:35:16,-2.26,2,33180.0,1,09:31:00,69,16.16,-2.66,1,30
2022-04-06,누보,4100,2022-04-26 09:38:02,09:45:09,0.07,3,332290.0,1,09:25:00,66,14.85,5.88,1,40
2022-04-06,에이티세미콘,2155,2022-04-26 09:48:59,09:56:13,2.02,4,89530.0,1,09:09:00,20,21.75,4.8,3,12
2022-04-06,에이티세미콘,2255,2022-04-26 10:45:12,17:50:05,1.7,5,89530.0,1,09:49:00,25,27.4,4.8,3,5
2022-04-07,KG ETS,18200,2022-04-26 09:30:20,09:41:32,4.65,1,151860.0,1,09:02:00,372,15.19,15.51,0,7
2022-04-08,대동기어,9690,2022-04-26 09:22:35,09:23:41,-1.95,1,8830.0,1,09:05:00,29,21.89,4.53,1,2
2022-04-08,액션스퀘어,5170,2022-04-26 09:24:09,09:25:54,-0.3,2,205500.0,0,09:15:00,9,14.63,2.0,3,6
2022-04-08,NHN벅스,17350,2022-04-26 09:30:13,09:42:50,-0.8799999999999999,3,104200.0,1,09:29:00,40,14.9,3.31,1,40
2022-04-08,코스모화학,16250,2022-04-26 09:47:28,09:49:16,-2.15,4,5420.0,1,09:47:00,52,11.68,0.69,0,6
2022-04-08,베셀,5590,2022-04-26 09:50:19,09:53:01,-2.63,5,177350.0,1,09:36:00,37,23.67,1.77,0,14
2022-04-08,NHN벅스,17450,2022-04-26 09:56:31,11:18:21,-2.02,6,104200.0,1,09:39:00,49,15.56,3.31,2,16
2022-04-08,디스플레이텍,8510,2022-04-26 11:22:02,11:25:30,-0.18,7,66670.0,1,11:00:00,65,13.16,0.66,1,7
2022-04-08,린드먼아시아,7000,2022-04-26 11:47:32,11:48:08,-0.3,8,277070.0,0,10:00:00,17,26.35,0.0,2,14
2022-04-08,KCTC,7020,2022-04-26 13:51:07,13:51:40,-2.01,9,9070.0,1,13:47:00,52,13.23,1.13,0,42
2022-04-08,엠아이텍,10750,2022-04-26 13:54:03,14:42:04,2.0300000000000002,10,179290.0,1,13:17:00,155,26.77,2.24,1,1
2022-04-08,시너지이노베이션,4530,2022-04-26 14:50:09,14:51:09,-0.41,11,48870.0,1,12:50:00,51,22.43,0.54,1,3
2022-04-08,시너지이노베이션,4375,2022-04-26 15:00:57,15:05:01,-3.13,12,48870.0,1,12:50:00,51,18.24,0.54,0,5
2022-04-08,시너지이노베이션,4315,2022-04-26 15:05:32,15:13:37,-1.69,13,48870.0,1,12:50:00,51,16.62,0.54,0,3
2022-04-08,하인크코리아,3720,2022-04-26 15:15:02,09:02:32,10.01,14,373200.0,0,15:10:00,43,29.62,-1.05,1,6
2022-04-12,티사이언티픽,4505,2022-04-26 09:45:27,09:49:54,-2.4099999999999997,1,57680.0,1,09:02:00,92,20.78,14.08,0,4
2022-04-12,GS글로벌,4050,2022-04-26 09:55:29,09:58:43,2.54,2,1250.0,1,09:00:00,182,13.92,5.34,0,3
2022-04-13,LG헬로비전,6160,2022-04-26 10:01:02,10:04:40,1.65,1,37560.0,1,09:22:00,73,19.15,5.61,1,6
2022-04-15,쇼박스,6430,2022-04-26 09:54:51,09:57:19,0.6300000000000001,1,86980.0,1,09:18:00,81,12.81,2.11,1,6
2022-04-15,쇼박스,6630,2022-04-26 10:01:11,10:02:56,1.06,2,86980.0,1,09:18:00,81,16.32,2.11,1,24
2022-04-15,쇼박스,6510,2022-04-26 13:41:29,13:43:57,0.16000000000000003,3,86980.0,1,09:18:00,81,14.21,2.11,1,1
2022-04-19,쌍방울,941,2022-04-26 09:56:00,09:56:42,-2.4299999999999997,1,102280.0,1,09:22:00,91,25.97,0.0,6,33
2022-04-19,쌍방울,926,2022-04-26 09:57:26,10:01:21,-4.3999999999999995,2,102280.0,1,09:22:00,91,23.96,0.0,0,43
2022-04-19,에코바이오,8810,2022-04-26 10:01:31,10:02:52,1.0999999999999999,3,38870.0,0,10:01:00,24,25.14,-1.28,2,16
2022-04-19,KG스틸,19400,2022-04-26 10:03:41,10:05:39,-0.56,4,16380.0,1,09:24:00,100,10.54,2.85,0,40
2022-04-19,쌍방울,887,2022-04-26 10:05:48,10:50:28,1.28,5,102280.0,1,09:22:00,91,18.74,0.0,0,31
2022-04-19,SCI평가정보,4105,2022-04-26 10:53:25,10:53:32,-0.6699999999999999,6,36120.0,1,09:53:00,50,29.91,0.16,0,3
2022-04-19,STX엔진,16000,2022-04-26 11:05:07,11:06:03,0.010000000000000009,7,77970.0,0,11:05:00,41,11.89,1.4,1,7
2022-04-19,일동홀딩스,43950,2022-04-26 11:24:25,11:27:57,0.16000000000000003,8,230.0,0,09:01:00,88,12.84,3.21,0,26
2022-04-19,일승,4235,2022-04-26 11:30:53,11:34:31,-0.3,9,333430.0,1,09:35:00,47,22.05,0.86,1,3
2022-04-19,쌍방울,890,2022-04-26 11:39:46,13:02:06,3.3000000000000003,10,102280.0,1,09:22:00,91,19.14,0.0,1,6
2022-04-19,팜스토리,3280,2022-04-26 13:49:10,13:50:27,2.14,11,27710.0,1,09:14:00,105,8.97,5.15,0,14
2022-04-19,쌍방울,924,2022-04-26 13:56:51,14:05:34,2.41,12,102280.0,1,09:22:00,91,23.69,0.0,1,3
2022-04-19,광림,2855,2022-04-26 14:11:10,14:11:54,0.75,13,14200.0,1,14:11:00,66,26.33,-1.33,1,26
2022-04-20,대주산업,3930,2022-04-26 09:36:38,09:44:21,-0.6799999999999999,1,3310.0,1,09:01:00,86,19.09,7.12,0,7
2022-04-20,한국맥널티,10300,2022-04-26 09:47:24,09:48:26,1.0999999999999999,2,222980.0,1,09:47:00,98,26.38,2.33,0,7
2022-04-20,하이스틸,7380,2022-04-26 14:07:57,14:09:32,0.10999999999999999,3,71090.0,1,13:19:00,84,24.45,-2.19,0,4
2022-04-21,한신기계,12000,2022-04-26 09:22:17,09:23:48,2.2,1,11700.0,1,09:00:00,211,19.4,8.96,0,38
2022-04-22,사조동아원,2060,2022-04-26 09:43:16,9:46:09,1.16,1,8040.0,1,09:19:00,81,14.13,-1.39,0,18
2022-04-26,제이씨케미칼,15650,2022-04-26 09:10:15,09:14:28,-4.77,1,137950.0,1,09:02:00,178,19.92,16.48,1,30
2022-04-26,구영테크,4190,2022-04-26 09:16:05,09:18:24,-0.3,2,53270.0,0,09:15:00,46,12.63,0.0,4,46
2022-04-26,팜스토리,5060,2022-04-26 09:19:43,09:24:32,-0.3,3,27710.0,1,09:02:00,223,23.57,10.62,0,50
2022-04-26,기산텔레콤,4045,2022-04-26 09:26:19,09:29:13,3.66,4,35460.0,1,09:26:00,30,13.78,5.49,3,18
2022-04-26,네온테크,4625,2022-04-26 09:36:11,09:39:05,3.5900000000000003,5,306620.0,1,09:27:00,47,16.35,7.17,1,41
